Timestamp,Position,Rotation,Fps,UserID,DisplayID
1628436282907,"(0.051, 1.743, -1.419)","(0.017, -0.020, -0.029, 0.999)",70.85515,U081722,Specchio_MQ
1628436282921,"(0.052, 1.743, -1.419)","(0.017, -0.020, -0.029, 0.999)",72.44802,U081722,Specchio_MQ
1628436282935,"(0.052, 1.744, -1.419)","(0.018, -0.020, -0.029, 0.999)",72.59686,U081722,Specchio_MQ
1628436282949,"(0.052, 1.744, -1.418)","(0.017, -0.020, -0.029, 0.999)",69.60541,U081722,Specchio_MQ
1628436282963,"(0.052, 1.744, -1.418)","(0.017, -0.019, -0.029, 0.999)",71.57376,U081722,Specchio_MQ
1628436282977,"(0.052, 1.744, -1.418)","(0.017, -0.019, -0.028, 0.999)",73.36757,U081722,Specchio_MQ
1628436282991,"(0.052, 1.744, -1.417)","(0.017, -0.019, -0.028, 0.999)",73.8149,U081722,Specchio_MQ
1628436283005,"(0.052, 1.743, -1.417)","(0.018, -0.019, -0.028, 0.999)",70.48955,U081722,Specchio_MQ
1628436283019,"(0.052, 1.743, -1.417)","(0.018, -0.019, -0.028, 0.999)",71.42449,U081722,Specchio_MQ
1628436283032,"(0.052, 1.743, -1.417)","(0.018, -0.019, -0.028, 0.999)",74.21095,U081722,Specchio_MQ
1628436283047,"(0.052, 1.744, -1.416)","(0.018, -0.019, -0.028, 0.999)",69.0193,U081722,Specchio_MQ
1628436283061,"(0.053, 1.743, -1.416)","(0.019, -0.019, -0.028, 0.999)",72.29299,U081722,Specchio_MQ
1628436283074,"(0.053, 1.743, -1.416)","(0.019, -0.019, -0.028, 0.999)",74.1938858,U081722,Specchio_MQ
1628436283088,"(0.053, 1.743, -1.415)","(0.019, -0.019, -0.028, 0.999)",70.72336,U081722,Specchio_MQ
1628436283102,"(0.053, 1.743, -1.415)","(0.019, -0.019, -0.028, 0.999)",71.1192,U081722,Specchio_MQ
1628436283116,"(0.053, 1.743, -1.415)","(0.019, -0.019, -0.028, 0.999)",72.0097961,U081722,Specchio_MQ
1628436283130,"(0.053, 1.743, -1.414)","(0.019, -0.019, -0.028, 0.999)",73.14272,U081722,Specchio_MQ
1628436283144,"(0.053, 1.743, -1.414)","(0.019, -0.018, -0.028, 0.999)",70.14689,U081722,Specchio_MQ
1628436283158,"(0.053, 1.743, -1.413)","(0.019, -0.018, -0.028, 0.999)",72.03936,U081722,Specchio_MQ
1628436283172,"(0.053, 1.743, -1.413)","(0.019, -0.018, -0.028, 0.999)",73.57539,U081722,Specchio_MQ
1628436283186,"(0.053, 1.743, -1.413)","(0.019, -0.018, -0.028, 0.999)",70.83558,U081722,Specchio_MQ
1628436283200,"(0.053, 1.743, -1.412)","(0.019, -0.017, -0.028, 0.999)",71.72263,U081722,Specchio_MQ
1628436283213,"(0.053, 1.743, -1.412)","(0.019, -0.017, -0.028, 0.999)",72.89161,U081722,Specchio_MQ
1628436283227,"(0.053, 1.743, -1.411)","(0.019, -0.017, -0.028, 0.999)",70.90891,U081722,Specchio_MQ
1628436283241,"(0.053, 1.743, -1.411)","(0.019, -0.016, -0.027, 0.999)",71.83134,U081722,Specchio_MQ
1628436283255,"(0.053, 1.743, -1.410)","(0.020, -0.016, -0.027, 0.999)",72.3683243,U081722,Specchio_MQ
