Timestamp,Position,Rotation,Fps,UserID,DisplayID
1629575891598,"(0.117, 1.790, -1.457)","(0.045, -0.096, -0.004, 0.994)",71.22152,U212154,Drago_05
1629575891612,"(0.116, 1.789, -1.455)","(0.048, -0.096, -0.004, 0.994)",73.4867249,U212154,Drago_05
1629575891626,"(0.115, 1.788, -1.453)","(0.052, -0.097, -0.003, 0.994)",71.53332,U212154,Drago_05
1629575891640,"(0.114, 1.787, -1.452)","(0.055, -0.096, -0.003, 0.994)",71.81638,U212154,Drago_05
1629575891654,"(0.113, 1.786, -1.450)","(0.058, -0.095, -0.003, 0.994)",73.03428,U212154,Drago_05
1629575891668,"(0.113, 1.785, -1.448)","(0.061, -0.095, -0.003, 0.994)",70.67138,U212154,Drago_05
1629575891682,"(0.112, 1.784, -1.446)","(0.064, -0.094, -0.002, 0.994)",71.6363144,U212154,Drago_05
1629575891695,"(0.111, 1.783, -1.444)","(0.067, -0.093, -0.001, 0.993)",73.75774,U212154,Drago_05
1629575891710,"(0.111, 1.783, -1.442)","(0.069, -0.092, -0.001, 0.993)",69.5511856,U212154,Drago_05
1629575891723,"(0.111, 1.782, -1.439)","(0.071, -0.091, 0.000, 0.993)",72.42284,U212154,Drago_05
1629575891737,"(0.110, 1.781, -1.437)","(0.073, -0.089, 0.000, 0.993)",73.8023758,U212154,Drago_05
1629575891751,"(0.110, 1.780, -1.435)","(0.075, -0.088, 0.001, 0.993)",69.65534,U212154,Drago_05
1629575891765,"(0.109, 1.779, -1.433)","(0.078, -0.087, 0.001, 0.993)",71.51183,U212154,Drago_05
1629575891779,"(0.109, 1.778, -1.431)","(0.080, -0.086, 0.002, 0.993)",73.32561,U212154,Drago_05
1629575891793,"(0.109, 1.777, -1.428)","(0.082, -0.085, 0.002, 0.993)",72.49844,U212154,Drago_05
1629575891807,"(0.109, 1.776, -1.426)","(0.084, -0.084, 0.003, 0.993)",70.39279,U212154,Drago_05
1629575891821,"(0.109, 1.775, -1.423)","(0.086, -0.083, 0.003, 0.993)",72.76008,U212154,Drago_05
1629575891835,"(0.109, 1.774, -1.421)","(0.089, -0.082, 0.003, 0.993)",72.08974,U212154,Drago_05
1629575891849,"(0.109, 1.773, -1.418)","(0.091, -0.080, 0.003, 0.993)",70.68836,U212154,Drago_05
1629575891862,"(0.109, 1.773, -1.415)","(0.094, -0.079, 0.003, 0.992)",72.9410553,U212154,Drago_05
1629575891876,"(0.110, 1.772, -1.412)","(0.095, -0.077, 0.003, 0.992)",72.27418,U212154,Drago_05
1629575891890,"(0.110, 1.771, -1.410)","(0.097, -0.076, 0.003, 0.992)",70.27901,U212154,Drago_05
1629575891904,"(0.110, 1.770, -1.407)","(0.099, -0.075, 0.004, 0.992)",72.72727,U212154,Drago_05
1629575891918,"(0.111, 1.769, -1.404)","(0.101, -0.073, 0.004, 0.992)",70.1105,U212154,Drago_05
1629575891932,"(0.111, 1.769, -1.401)","(0.103, -0.072, 0.004, 0.992)",74.3544159,U212154,Drago_05
1629575891946,"(0.112, 1.768, -1.398)","(0.106, -0.070, 0.004, 0.992)",69.99909,U212154,Drago_05
1629575891960,"(0.112, 1.767, -1.395)","(0.108, -0.069, 0.003, 0.992)",71.7973,U212154,Drago_05
1629575891974,"(0.113, 1.766, -1.392)","(0.110, -0.067, 0.003, 0.992)",73.57269,U212154,Drago_05
1629575891988,"(0.114, 1.765, -1.389)","(0.112, -0.066, 0.003, 0.992)",70.29877,U212154,Drago_05
1629575892002,"(0.114, 1.765, -1.386)","(0.113, -0.064, 0.003, 0.992)",71.857666,U212154,Drago_05
1629575892015,"(0.115, 1.764, -1.383)","(0.114, -0.063, 0.003, 0.991)",73.86452,U212154,Drago_05
1629575892030,"(0.116, 1.763, -1.380)","(0.116, -0.061, 0.003, 0.991)",70.07365,U212154,Drago_05
1629575892044,"(0.117, 1.762, -1.377)","(0.118, -0.060, 0.003, 0.991)",71.23877,U212154,Drago_05
1629575892057,"(0.118, 1.761, -1.373)","(0.120, -0.059, 0.002, 0.991)",74.61629,U212154,Drago_05
1629575892071,"(0.120, 1.761, -1.370)","(0.122, -0.057, 0.002, 0.991)",69.8983,U212154,Drago_05
1629575892085,"(0.121, 1.760, -1.367)","(0.124, -0.056, 0.001, 0.991)",71.62452,U212154,Drago_05
1629575892099,"(0.122, 1.759, -1.363)","(0.125, -0.054, 0.001, 0.991)",72.31651,U212154,Drago_05
1629575892113,"(0.124, 1.759, -1.360)","(0.127, -0.053, 0.000, 0.990)",73.1042252,U212154,Drago_05
1629575892127,"(0.125, 1.758, -1.357)","(0.129, -0.052, -0.001, 0.990)",70.18184,U212154,Drago_05
1629575892141,"(0.127, 1.757, -1.353)","(0.131, -0.051, -0.002, 0.990)",72.748436,U212154,Drago_05
1629575892155,"(0.129, 1.757, -1.350)","(0.133, -0.050, -0.003, 0.990)",72.76485,U212154,Drago_05
1629575892169,"(0.130, 1.756, -1.346)","(0.134, -0.049, -0.004, 0.990)",69.99517,U212154,Drago_05
1629575892183,"(0.132, 1.756, -1.343)","(0.135, -0.047, -0.004, 0.990)",72.8231354,U212154,Drago_05
1629575892197,"(0.134, 1.755, -1.339)","(0.136, -0.047, -0.005, 0.990)",72.34634,U212154,Drago_05
1629575892211,"(0.136, 1.755, -1.336)","(0.136, -0.046, -0.006, 0.990)",70.28,U212154,Drago_05
1629575892224,"(0.138, 1.754, -1.333)","(0.136, -0.044, -0.007, 0.990)",73.54239,U212154,Drago_05
1629575892239,"(0.141, 1.754, -1.329)","(0.136, -0.043, -0.008, 0.990)",70.74187,U212154,Drago_05
1629575892252,"(0.143, 1.754, -1.326)","(0.136, -0.042, -0.008, 0.990)",73.5094147,U212154,Drago_05
1629575892266,"(0.146, 1.754, -1.322)","(0.137, -0.041, -0.009, 0.990)",70.42105,U212154,Drago_05
1629575892280,"(0.148, 1.753, -1.319)","(0.136, -0.039, -0.011, 0.990)",72.0201645,U212154,Drago_05
1629575892294,"(0.151, 1.754, -1.315)","(0.137, -0.037, -0.012, 0.990)",72.91818,U212154,Drago_05
1629575892308,"(0.154, 1.754, -1.312)","(0.137, -0.035, -0.014, 0.990)",70.0182,U212154,Drago_05
1629575892322,"(0.157, 1.754, -1.308)","(0.136, -0.033, -0.015, 0.990)",72.39347,U212154,Drago_05
1629575892336,"(0.159, 1.754, -1.305)","(0.135, -0.031, -0.017, 0.990)",73.6008453,U212154,Drago_05
1629575892350,"(0.162, 1.753, -1.301)","(0.134, -0.029, -0.017, 0.990)",70.15476,U212154,Drago_05
1629575892364,"(0.165, 1.754, -1.298)","(0.133, -0.027, -0.018, 0.991)",71.31548,U212154,Drago_05
1629575892377,"(0.167, 1.754, -1.295)","(0.133, -0.026, -0.019, 0.991)",74.26276,U212154,Drago_05
1629575892392,"(0.170, 1.754, -1.291)","(0.132, -0.024, -0.019, 0.991)",69.4492645,U212154,Drago_05
1629575892406,"(0.173, 1.754, -1.288)","(0.132, -0.022, -0.020, 0.991)",72.2835846,U212154,Drago_05
1629575892419,"(0.175, 1.754, -1.284)","(0.131, -0.020, -0.021, 0.991)",72.60635,U212154,Drago_05
1629575892433,"(0.178, 1.754, -1.281)","(0.130, -0.019, -0.021, 0.991)",72.32541,U212154,Drago_05
1629575892447,"(0.181, 1.753, -1.278)","(0.129, -0.017, -0.022, 0.991)",70.72936,U212154,Drago_05
1629575892461,"(0.183, 1.753, -1.274)","(0.128, -0.016, -0.022, 0.991)",73.05883,U212154,Drago_05
1629575892475,"(0.186, 1.753, -1.271)","(0.127, -0.014, -0.023, 0.992)",72.23868,U212154,Drago_05
1629575892489,"(0.188, 1.753, -1.268)","(0.126, -0.014, -0.024, 0.992)",69.95943,U212154,Drago_05
1629575892503,"(0.191, 1.753, -1.264)","(0.126, -0.013, -0.025, 0.992)",73.1818,U212154,Drago_05
1629575892517,"(0.193, 1.753, -1.261)","(0.126, -0.011, -0.026, 0.992)",71.90055,U212154,Drago_05
1629575892531,"(0.196, 1.752, -1.258)","(0.126, -0.010, -0.027, 0.992)",70.09772,U212154,Drago_05
1629575892545,"(0.198, 1.752, -1.255)","(0.126, -0.009, -0.027, 0.992)",73.00123,U212154,Drago_05
1629575892559,"(0.200, 1.752, -1.252)","(0.126, -0.009, -0.027, 0.992)",71.6193848,U212154,Drago_05
1629575892572,"(0.202, 1.752, -1.249)","(0.126, -0.008, -0.028, 0.992)",73.21502,U212154,Drago_05
1629575892587,"(0.204, 1.751, -1.246)","(0.127, -0.008, -0.029, 0.991)",70.09329,U212154,Drago_05
1629575892601,"(0.206, 1.751, -1.243)","(0.127, -0.008, -0.029, 0.991)",71.35569,U212154,Drago_05
1629575892614,"(0.207, 1.751, -1.240)","(0.127, -0.008, -0.030, 0.991)",73.9289551,U212154,Drago_05
1629575892628,"(0.209, 1.750, -1.237)","(0.128, -0.008, -0.030, 0.991)",70.30766,U212154,Drago_05
1629575892642,"(0.210, 1.750, -1.235)","(0.128, -0.009, -0.031, 0.991)",71.56249,U212154,Drago_05
1629575892656,"(0.212, 1.750, -1.232)","(0.128, -0.009, -0.031, 0.991)",73.91857,U212154,Drago_05
1629575892670,"(0.213, 1.749, -1.230)","(0.128, -0.010, -0.031, 0.991)",70.5806,U212154,Drago_05
1629575892684,"(0.214, 1.749, -1.227)","(0.128, -0.010, -0.032, 0.991)",71.48474,U212154,Drago_05
1629575892698,"(0.215, 1.749, -1.225)","(0.128, -0.011, -0.033, 0.991)",73.46027,U212154,Drago_05
1629575892712,"(0.216, 1.748, -1.223)","(0.128, -0.011, -0.033, 0.991)",70.09428,U212154,Drago_05
1629575892726,"(0.217, 1.748, -1.220)","(0.128, -0.012, -0.033, 0.991)",72.12197,U212154,Drago_05
1629575892740,"(0.217, 1.748, -1.218)","(0.128, -0.013, -0.033, 0.991)",72.7389145,U212154,Drago_05
1629575892753,"(0.218, 1.748, -1.216)","(0.129, -0.014, -0.033, 0.991)",72.17767,U212154,Drago_05
1629575892768,"(0.218, 1.749, -1.214)","(0.129, -0.015, -0.033, 0.991)",70.56665,U212154,Drago_05
1629575892781,"(0.219, 1.749, -1.212)","(0.129, -0.016, -0.033, 0.991)",73.0663,U212154,Drago_05
