Timestamp,Position,Rotation,Fps,UserID,DisplayID
1629304533737,"(0.099, 1.700, -1.322)","(0.091, -0.051, 0.034, 0.994)",72.29978,U181826,Notredame_20
1629304533751,"(0.099, 1.699, -1.321)","(0.093, -0.051, 0.034, 0.994)",72.103775,U181826,Notredame_20
1629304533765,"(0.099, 1.699, -1.319)","(0.095, -0.051, 0.035, 0.994)",71.4469452,U181826,Notredame_20
1629304533778,"(0.100, 1.698, -1.318)","(0.097, -0.051, 0.035, 0.993)",72.27784,U181826,Notredame_20
1629304533793,"(0.101, 1.698, -1.317)","(0.099, -0.051, 0.035, 0.993)",69.92127,U181826,Notredame_20
1629304533806,"(0.101, 1.697, -1.315)","(0.100, -0.051, 0.035, 0.993)",72.72992,U181826,Notredame_20
1629304533820,"(0.102, 1.697, -1.314)","(0.101, -0.051, 0.034, 0.993)",72.05857,U181826,Notredame_20
1629304533834,"(0.102, 1.697, -1.312)","(0.102, -0.051, 0.034, 0.993)",71.3923645,U181826,Notredame_20
1629304533848,"(0.103, 1.696, -1.311)","(0.102, -0.051, 0.035, 0.993)",72.74685,U181826,Notredame_20
1629304533862,"(0.104, 1.696, -1.309)","(0.103, -0.052, 0.035, 0.993)",71.97196,U181826,Notredame_20
1629304533876,"(0.104, 1.695, -1.307)","(0.104, -0.053, 0.034, 0.993)",72.69132,U181826,Notredame_20
1629304533890,"(0.105, 1.695, -1.306)","(0.105, -0.054, 0.034, 0.992)",69.80462,U181826,Notredame_20
1629304533904,"(0.106, 1.694, -1.304)","(0.106, -0.054, 0.033, 0.992)",73.04175,U181826,Notredame_20
1629304533918,"(0.106, 1.694, -1.302)","(0.107, -0.055, 0.032, 0.992)",72.20895,U181826,Notredame_20
1629304533932,"(0.107, 1.693, -1.300)","(0.107, -0.056, 0.032, 0.992)",70.23212,U181826,Notredame_20
1629304533946,"(0.108, 1.693, -1.297)","(0.108, -0.056, 0.032, 0.992)",72.47165,U181826,Notredame_20
1629304533960,"(0.108, 1.692, -1.295)","(0.109, -0.057, 0.031, 0.992)",71.5497,U181826,Notredame_20
1629304533974,"(0.109, 1.692, -1.293)","(0.111, -0.057, 0.030, 0.992)",71.5031357,U181826,Notredame_20
1629304533987,"(0.110, 1.692, -1.290)","(0.112, -0.058, 0.030, 0.992)",72.89161,U181826,Notredame_20
1629304534001,"(0.110, 1.691, -1.288)","(0.113, -0.058, 0.029, 0.991)",73.01135,U181826,Notredame_20
1629304534015,"(0.111, 1.691, -1.285)","(0.114, -0.059, 0.029, 0.991)",70.04125,U181826,Notredame_20
1629304534029,"(0.112, 1.691, -1.282)","(0.114, -0.059, 0.029, 0.991)",72.4622,U181826,Notredame_20
1629304534043,"(0.112, 1.690, -1.279)","(0.115, -0.060, 0.029, 0.991)",72.49161,U181826,Notredame_20
1629304534057,"(0.113, 1.689, -1.276)","(0.117, -0.062, 0.030, 0.991)",72.27157,U181826,Notredame_20
1629304534071,"(0.114, 1.689, -1.273)","(0.117, -0.063, 0.031, 0.991)",70.52683,U181826,Notredame_20
1629304534085,"(0.115, 1.688, -1.270)","(0.118, -0.064, 0.031, 0.990)",72.99323,U181826,Notredame_20
1629304534099,"(0.116, 1.687, -1.267)","(0.120, -0.065, 0.030, 0.990)",71.6512,U181826,Notredame_20
1629304534113,"(0.117, 1.686, -1.264)","(0.122, -0.067, 0.030, 0.990)",71.1526,U181826,Notredame_20
1629304534127,"(0.118, 1.686, -1.261)","(0.125, -0.068, 0.029, 0.989)",72.21468,U181826,Notredame_20
1629304534140,"(0.119, 1.685, -1.257)","(0.128, -0.069, 0.028, 0.989)",72.82578,U181826,Notredame_20
1629304534154,"(0.120, 1.684, -1.254)","(0.130, -0.070, 0.027, 0.989)",70.4796143,U181826,Notredame_20
1629304534168,"(0.121, 1.684, -1.250)","(0.131, -0.070, 0.025, 0.989)",72.4249344,U181826,Notredame_20
1629304534183,"(0.123, 1.683, -1.246)","(0.132, -0.071, 0.024, 0.988)",67.14564,U181826,Notredame_20
1629304534196,"(0.124, 1.683, -1.242)","(0.132, -0.071, 0.022, 0.988)",76.9147949,U181826,Notredame_20
1629304534210,"(0.125, 1.682, -1.238)","(0.132, -0.071, 0.020, 0.988)",70.8325653,U181826,Notredame_20
1629304534224,"(0.127, 1.681, -1.234)","(0.132, -0.071, 0.018, 0.988)",72.7008362,U181826,Notredame_20
1629304534238,"(0.129, 1.680, -1.230)","(0.133, -0.070, 0.017, 0.988)",72.6105652,U181826,Notredame_20
1629304534252,"(0.130, 1.679, -1.225)","(0.134, -0.070, 0.016, 0.988)",70.55421,U181826,Notredame_20
1629304534266,"(0.132, 1.679, -1.221)","(0.134, -0.069, 0.015, 0.988)",72.1693344,U181826,Notredame_20
1629304534280,"(0.134, 1.677, -1.216)","(0.135, -0.069, 0.014, 0.988)",71.76278,U181826,Notredame_20
1629304534294,"(0.136, 1.676, -1.211)","(0.136, -0.069, 0.014, 0.988)",71.48423,U181826,Notredame_20
1629304534307,"(0.138, 1.675, -1.206)","(0.137, -0.069, 0.013, 0.988)",73.567276,U181826,Notredame_20
1629304534321,"(0.140, 1.674, -1.201)","(0.137, -0.069, 0.013, 0.988)",72.09286,U181826,Notredame_20
1629304534336,"(0.142, 1.673, -1.196)","(0.138, -0.069, 0.013, 0.988)",70.39973,U181826,Notredame_20
1629304534349,"(0.144, 1.671, -1.190)","(0.139, -0.070, 0.013, 0.988)",72.22407,U181826,Notredame_20
1629304534363,"(0.146, 1.670, -1.185)","(0.140, -0.070, 0.012, 0.988)",71.60246,U181826,Notredame_20
1629304534377,"(0.148, 1.668, -1.179)","(0.141, -0.070, 0.011, 0.987)",71.69487,U181826,Notredame_20
1629304534391,"(0.151, 1.667, -1.174)","(0.143, -0.070, 0.010, 0.987)",71.63991,U181826,Notredame_20
1629304534405,"(0.153, 1.666, -1.168)","(0.144, -0.070, 0.009, 0.987)",73.04549,U181826,Notredame_20
1629304534419,"(0.155, 1.664, -1.162)","(0.145, -0.070, 0.009, 0.987)",72.05441,U181826,Notredame_20
1629304534433,"(0.158, 1.663, -1.157)","(0.146, -0.071, 0.010, 0.987)",70.52634,U181826,Notredame_20
1629304534447,"(0.160, 1.661, -1.151)","(0.148, -0.072, 0.010, 0.986)",72.35995,U181826,Notredame_20
1629304534461,"(0.162, 1.660, -1.145)","(0.151, -0.072, 0.010, 0.986)",73.07004,U181826,Notredame_20
1629304534475,"(0.165, 1.658, -1.139)","(0.153, -0.072, 0.010, 0.985)",70.86318,U181826,Notredame_20
1629304534489,"(0.167, 1.657, -1.133)","(0.155, -0.072, 0.010, 0.985)",71.42092,U181826,Notredame_20
1629304534503,"(0.170, 1.655, -1.126)","(0.158, -0.072, 0.009, 0.985)",69.9310455,U181826,Notredame_20
1629304534516,"(0.172, 1.654, -1.120)","(0.161, -0.072, 0.010, 0.984)",74.45406,U181826,Notredame_20
1629304534531,"(0.174, 1.652, -1.113)","(0.163, -0.072, 0.011, 0.984)",70.77992,U181826,Notredame_20
1629304534544,"(0.177, 1.651, -1.106)","(0.164, -0.073, 0.012, 0.984)",72.63272,U181826,Notredame_20
1629304534558,"(0.179, 1.650, -1.099)","(0.166, -0.074, 0.013, 0.983)",72.70612,U181826,Notredame_20
1629304534572,"(0.181, 1.648, -1.092)","(0.167, -0.075, 0.013, 0.983)",70.57213,U181826,Notredame_20
1629304534586,"(0.184, 1.646, -1.085)","(0.168, -0.076, 0.014, 0.983)",71.52922,U181826,Notredame_20
1629304534600,"(0.187, 1.645, -1.077)","(0.169, -0.077, 0.015, 0.983)",73.403656,U181826,Notredame_20
1629304534614,"(0.189, 1.643, -1.069)","(0.169, -0.077, 0.015, 0.983)",69.9937,U181826,Notredame_20
1629304534628,"(0.191, 1.642, -1.061)","(0.171, -0.078, 0.015, 0.982)",73.5169754,U181826,Notredame_20
1629304534641,"(0.194, 1.640, -1.053)","(0.172, -0.080, 0.016, 0.982)",72.85656,U181826,Notredame_20
1629304534656,"(0.196, 1.639, -1.044)","(0.175, -0.083, 0.016, 0.981)",70.30273,U181826,Notredame_20
1629304534670,"(0.199, 1.638, -1.035)","(0.176, -0.086, 0.016, 0.981)",71.79524,U181826,Notredame_20
1629304534683,"(0.201, 1.637, -1.025)","(0.175, -0.089, 0.015, 0.980)",72.93893,U181826,Notredame_20
1629304534697,"(0.204, 1.635, -1.016)","(0.172, -0.091, 0.013, 0.981)",72.07363,U181826,Notredame_20
1629304534711,"(0.206, 1.633, -1.007)","(0.172, -0.093, 0.011, 0.981)",70.8400955,U181826,Notredame_20
1629304534725,"(0.209, 1.631, -0.997)","(0.173, -0.096, 0.010, 0.980)",71.41072,U181826,Notredame_20
1629304534739,"(0.212, 1.630, -0.987)","(0.175, -0.099, 0.010, 0.979)",72.808815,U181826,Notredame_20
1629304534753,"(0.214, 1.629, -0.977)","(0.175, -0.102, 0.009, 0.979)",71.14652,U181826,Notredame_20
1629304534767,"(0.217, 1.627, -0.968)","(0.174, -0.104, 0.007, 0.979)",70.0182,U181826,Notredame_20
1629304534781,"(0.220, 1.626, -0.958)","(0.174, -0.105, 0.004, 0.979)",75.13769,U181826,Notredame_20
1629304534795,"(0.223, 1.624, -0.948)","(0.173, -0.104, 0.002, 0.979)",71.166275,U181826,Notredame_20
1629304534809,"(0.225, 1.623, -0.939)","(0.171, -0.103, 0.002, 0.980)",71.38625,U181826,Notredame_20
1629304534823,"(0.228, 1.621, -0.929)","(0.169, -0.103, 0.003, 0.980)",71.880394,U181826,Notredame_20
1629304534836,"(0.230, 1.620, -0.920)","(0.169, -0.103, 0.005, 0.980)",72.8295,U181826,Notredame_20
1629304534851,"(0.233, 1.618, -0.911)","(0.169, -0.104, 0.006, 0.980)",69.86704,U181826,Notredame_20
1629304534865,"(0.236, 1.617, -0.902)","(0.170, -0.104, 0.006, 0.980)",72.67706,U181826,Notredame_20
1629304534878,"(0.238, 1.616, -0.893)","(0.169, -0.104, 0.007, 0.980)",72.2198944,U181826,Notredame_20
1629304534893,"(0.241, 1.615, -0.884)","(0.166, -0.105, 0.008, 0.981)",70.78744,U181826,Notredame_20
1629304534906,"(0.243, 1.613, -0.876)","(0.160, -0.105, 0.007, 0.981)",72.11001,U181826,Notredame_20
1629304534920,"(0.246, 1.611, -0.868)","(0.156, -0.104, 0.004, 0.982)",73.71424,U181826,Notredame_20
1629304534934,"(0.248, 1.609, -0.860)","(0.153, -0.104, 0.002, 0.983)",70.28938,U181826,Notredame_20
1629304534948,"(0.250, 1.607, -0.853)","(0.149, -0.105, 0.002, 0.983)",72.2470245,U181826,Notredame_20
1629304534962,"(0.252, 1.605, -0.846)","(0.144, -0.108, 0.003, 0.984)",73.23861,U181826,Notredame_20
