Timestamp,Position,Rotation,Fps,UserID,DisplayID
1629723829252,"(-0.019, 1.745, -2.191)","(0.046, 0.001, -0.015, 0.999)",69.07986,U231502,Specchio_MQ
1629723829267,"(-0.020, 1.745, -2.191)","(0.046, 0.001, -0.015, 0.999)",65.2831039,U231502,Specchio_MQ
1629723829278,"(-0.020, 1.745, -2.192)","(0.046, 0.000, -0.014, 0.999)",91.60781,U231502,Specchio_MQ
1629723829291,"(-0.020, 1.745, -2.192)","(0.047, 0.000, -0.014, 0.999)",73.42521,U231502,Specchio_MQ
1629723829305,"(-0.020, 1.745, -2.193)","(0.047, -0.001, -0.013, 0.999)",71.91865,U231502,Specchio_MQ
1629723829319,"(-0.021, 1.745, -2.193)","(0.047, -0.001, -0.013, 0.999)",70.92048,U231502,Specchio_MQ
1629723829333,"(-0.021, 1.745, -2.194)","(0.047, -0.002, -0.013, 0.999)",72.8220749,U231502,Specchio_MQ
1629723829347,"(-0.021, 1.745, -2.194)","(0.046, -0.003, -0.013, 0.999)",71.68047,U231502,Specchio_MQ
1629723829361,"(-0.021, 1.745, -2.194)","(0.046, -0.003, -0.013, 0.999)",71.1252747,U231502,Specchio_MQ
1629723829375,"(-0.021, 1.745, -2.195)","(0.045, -0.004, -0.013, 0.999)",72.91818,U231502,Specchio_MQ
1629723829389,"(-0.021, 1.745, -2.195)","(0.044, -0.004, -0.013, 0.999)",70.8265457,U231502,Specchio_MQ
1629723829403,"(-0.021, 1.745, -2.195)","(0.044, -0.004, -0.013, 0.999)",71.8236,U231502,Specchio_MQ
1629723829416,"(-0.021, 1.745, -2.196)","(0.043, -0.004, -0.013, 0.999)",72.81465,U231502,Specchio_MQ
1629723829431,"(-0.021, 1.745, -2.196)","(0.043, -0.004, -0.013, 0.999)",71.09139,U231502,Specchio_MQ
1629723829444,"(-0.021, 1.745, -2.197)","(0.043, -0.004, -0.013, 0.999)",71.86748,U231502,Specchio_MQ
1629723829458,"(-0.021, 1.745, -2.197)","(0.042, -0.004, -0.013, 0.999)",71.624,U231502,Specchio_MQ
1629723829472,"(-0.021, 1.745, -2.197)","(0.042, -0.003, -0.013, 0.999)",72.87886,U231502,Specchio_MQ
1629723829486,"(-0.021, 1.745, -2.198)","(0.042, -0.003, -0.013, 0.999)",70.05745,U231502,Specchio_MQ
1629723829500,"(-0.021, 1.745, -2.198)","(0.042, -0.003, -0.013, 0.999)",72.38037,U231502,Specchio_MQ
1629723829514,"(-0.021, 1.745, -2.198)","(0.042, -0.003, -0.013, 0.999)",71.8690262,U231502,Specchio_MQ
1629723829528,"(-0.021, 1.745, -2.198)","(0.042, -0.003, -0.013, 0.999)",71.92589,U231502,Specchio_MQ
1629723829542,"(-0.021, 1.745, -2.198)","(0.042, -0.004, -0.013, 0.999)",71.93158,U231502,Specchio_MQ
1629723829556,"(-0.021, 1.745, -2.199)","(0.042, -0.004, -0.013, 0.999)",72.94531,U231502,Specchio_MQ
1629723829570,"(-0.021, 1.744, -2.199)","(0.042, -0.004, -0.013, 0.999)",69.72382,U231502,Specchio_MQ
1629723829584,"(-0.021, 1.744, -2.199)","(0.042, -0.004, -0.013, 0.999)",73.31916,U231502,Specchio_MQ
1629723829598,"(-0.021, 1.744, -2.199)","(0.042, -0.005, -0.013, 0.999)",71.2474,U231502,Specchio_MQ
1629723829611,"(-0.021, 1.744, -2.200)","(0.043, -0.005, -0.013, 0.999)",73.17323,U231502,Specchio_MQ
1629723829625,"(-0.021, 1.744, -2.200)","(0.043, -0.005, -0.013, 0.999)",71.53332,U231502,Specchio_MQ
1629723829639,"(-0.021, 1.744, -2.200)","(0.043, -0.006, -0.013, 0.999)",71.1106,U231502,Specchio_MQ
1629723829653,"(-0.021, 1.744, -2.200)","(0.043, -0.006, -0.013, 0.999)",72.90489,U231502,Specchio_MQ
1629723829667,"(-0.021, 1.744, -2.200)","(0.042, -0.006, -0.013, 0.999)",71.04291,U231502,Specchio_MQ
1629723829681,"(-0.021, 1.744, -2.201)","(0.042, -0.006, -0.013, 0.999)",71.72315,U231502,Specchio_MQ
1629723829695,"(-0.021, 1.744, -2.201)","(0.042, -0.006, -0.014, 0.999)",72.35576,U231502,Specchio_MQ
1629723829709,"(-0.021, 1.744, -2.201)","(0.041, -0.006, -0.014, 0.999)",70.68736,U231502,Specchio_MQ
1629723829723,"(-0.021, 1.745, -2.202)","(0.041, -0.006, -0.014, 0.999)",72.70136,U231502,Specchio_MQ
1629723829737,"(-0.020, 1.745, -2.202)","(0.040, -0.006, -0.013, 0.999)",72.32593,U231502,Specchio_MQ
1629723829751,"(-0.020, 1.745, -2.202)","(0.040, -0.006, -0.014, 0.999)",70.75188,U231502,Specchio_MQ
1629723829765,"(-0.020, 1.745, -2.202)","(0.040, -0.006, -0.014, 0.999)",71.4153061,U231502,Specchio_MQ
1629723829779,"(-0.020, 1.745, -2.203)","(0.039, -0.006, -0.014, 0.999)",71.39134,U231502,Specchio_MQ
1629723829792,"(-0.020, 1.745, -2.203)","(0.038, -0.006, -0.014, 0.999)",74.13778,U231502,Specchio_MQ
1629723829807,"(-0.020, 1.746, -2.204)","(0.038, -0.006, -0.014, 0.999)",69.0178757,U231502,Specchio_MQ
1629723829820,"(-0.019, 1.746, -2.204)","(0.038, -0.006, -0.015, 0.999)",73.38049,U231502,Specchio_MQ
1629723829834,"(-0.019, 1.746, -2.204)","(0.037, -0.006, -0.015, 0.999)",73.19037,U231502,Specchio_MQ
1629723829848,"(-0.019, 1.747, -2.204)","(0.035, -0.005, -0.016, 0.999)",70.8561554,U231502,Specchio_MQ
1629723829862,"(-0.019, 1.746, -2.203)","(0.033, -0.004, -0.016, 0.999)",71.65069,U231502,Specchio_MQ
1629723829876,"(-0.018, 1.746, -2.203)","(0.032, -0.003, -0.016, 0.999)",72.76431,U231502,Specchio_MQ
1629723829890,"(-0.019, 1.746, -2.203)","(0.032, -0.003, -0.016, 0.999)",70.20254,U231502,Specchio_MQ
