Timestamp,Position,Rotation,Fps,UserID,DisplayID
1629722602470,"(0.158, 1.763, -1.372)","(0.071, -0.039, -0.051, 0.995)",71.40562,U231438,Pagoda_05
1629722602484,"(0.154, 1.762, -1.372)","(0.073, -0.038, -0.052, 0.995)",74.80159,U231438,Pagoda_05
1629722602498,"(0.150, 1.761, -1.371)","(0.076, -0.037, -0.052, 0.995)",69.82362,U231438,Pagoda_05
1629722602512,"(0.146, 1.760, -1.371)","(0.080, -0.036, -0.053, 0.995)",72.47532,U231438,Pagoda_05
1629722602525,"(0.142, 1.760, -1.371)","(0.084, -0.035, -0.053, 0.994)",72.77173,U231438,Pagoda_05
1629722602540,"(0.138, 1.759, -1.371)","(0.087, -0.033, -0.054, 0.994)",70.98995,U231438,Pagoda_05
1629722602554,"(0.135, 1.759, -1.371)","(0.091, -0.031, -0.054, 0.994)",71.7277756,U231438,Pagoda_05
1629722602567,"(0.131, 1.758, -1.370)","(0.094, -0.030, -0.053, 0.994)",73.74686,U231438,Pagoda_05
1629722602581,"(0.128, 1.758, -1.370)","(0.097, -0.028, -0.052, 0.993)",70.1036148,U231438,Pagoda_05
1629722602595,"(0.124, 1.757, -1.369)","(0.101, -0.027, -0.051, 0.993)",71.6040039,U231438,Pagoda_05
1629722602609,"(0.121, 1.756, -1.369)","(0.105, -0.025, -0.050, 0.993)",72.7674942,U231438,Pagoda_05
1629722602623,"(0.117, 1.756, -1.368)","(0.110, -0.023, -0.050, 0.992)",71.06108,U231438,Pagoda_05
1629722602637,"(0.114, 1.755, -1.368)","(0.115, -0.021, -0.050, 0.992)",71.52922,U231438,Pagoda_05
1629722602651,"(0.111, 1.754, -1.367)","(0.120, -0.019, -0.051, 0.991)",73.0278854,U231438,Pagoda_05
1629722602665,"(0.107, 1.753, -1.366)","(0.126, -0.017, -0.051, 0.991)",72.09234,U231438,Pagoda_05
1629722602679,"(0.104, 1.752, -1.366)","(0.131, -0.016, -0.050, 0.990)",70.56416,U231438,Pagoda_05
1629722602693,"(0.101, 1.751, -1.365)","(0.137, -0.014, -0.049, 0.989)",72.19279,U231438,Pagoda_05
1629722602706,"(0.098, 1.751, -1.365)","(0.143, -0.013, -0.047, 0.989)",73.36757,U231438,Pagoda_05
1629722602721,"(0.095, 1.750, -1.364)","(0.148, -0.012, -0.047, 0.988)",70.40766,U231438,Pagoda_05
1629722602735,"(0.092, 1.749, -1.363)","(0.152, -0.011, -0.047, 0.987)",71.1379242,U231438,Pagoda_05
1629722602748,"(0.089, 1.749, -1.363)","(0.155, -0.011, -0.047, 0.987)",74.03623,U231438,Pagoda_05
1629722602762,"(0.086, 1.748, -1.362)","(0.159, -0.010, -0.046, 0.986)",70.6524048,U231438,Pagoda_05
1629722602776,"(0.083, 1.748, -1.361)","(0.162, -0.010, -0.044, 0.986)",71.5497,U231438,Pagoda_05
1629722602790,"(0.081, 1.747, -1.361)","(0.165, -0.010, -0.043, 0.985)",71.40511,U231438,Pagoda_05
1629722602804,"(0.078, 1.748, -1.360)","(0.167, -0.011, -0.042, 0.985)",74.0471954,U231438,Pagoda_05
1629722602818,"(0.075, 1.747, -1.359)","(0.168, -0.011, -0.041, 0.985)",69.67767,U231438,Pagoda_05
1629722602832,"(0.073, 1.747, -1.359)","(0.168, -0.011, -0.040, 0.985)",72.27575,U231438,Pagoda_05
1629722602846,"(0.070, 1.747, -1.358)","(0.169, -0.011, -0.040, 0.985)",73.363266,U231438,Pagoda_05
1629722602860,"(0.068, 1.747, -1.357)","(0.171, -0.011, -0.038, 0.985)",70.55719,U231438,Pagoda_05
1629722602874,"(0.066, 1.746, -1.357)","(0.173, -0.010, -0.037, 0.984)",71.20073,U231438,Pagoda_05
1629722602887,"(0.063, 1.746, -1.357)","(0.175, -0.010, -0.036, 0.984)",74.53731,U231438,Pagoda_05
1629722602902,"(0.061, 1.745, -1.356)","(0.177, -0.010, -0.036, 0.983)",70.07856,U231438,Pagoda_05
1629722602916,"(0.059, 1.745, -1.356)","(0.179, -0.010, -0.035, 0.983)",69.90954,U231438,Pagoda_05
1629722602929,"(0.057, 1.745, -1.356)","(0.180, -0.010, -0.034, 0.983)",74.8996353,U231438,Pagoda_05
1629722602944,"(0.055, 1.745, -1.355)","(0.182, -0.010, -0.033, 0.983)",69.81729,U231438,Pagoda_05
1629722602957,"(0.053, 1.745, -1.355)","(0.183, -0.010, -0.032, 0.983)",72.2099838,U231438,Pagoda_05
1629722602971,"(0.052, 1.745, -1.355)","(0.184, -0.010, -0.031, 0.982)",72.48163,U231438,Pagoda_05
1629722602985,"(0.050, 1.745, -1.354)","(0.185, -0.011, -0.029, 0.982)",73.47755,U231438,Pagoda_05
1629722602999,"(0.048, 1.745, -1.354)","(0.186, -0.011, -0.028, 0.982)",70.11148,U231438,Pagoda_05
1629722603013,"(0.047, 1.745, -1.354)","(0.186, -0.012, -0.028, 0.982)",72.17194,U231438,Pagoda_05
